1758442458.879323 server started (15738): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1758442458.879368 on Linux 6.8.0-79-generic #79-Ubuntu SMP PREEMPT_DYNAMIC Tue Aug 12 14:42:46 UTC 2025
1758442458.879382 using libevent 2.1.12-stable poll
1758442458.879390 using ncurses 6.4 20240113
1758442458.879513 input_key_build: 0x10e003 (PasteStart) is \033[200~
1758442458.879521 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1758442458.879529 input_key_build: 0x10e195 (F1) is \033OP
1758442458.879536 input_key_build: 0x10e196 (F2) is \033OQ
1758442458.879543 input_key_build: 0x10e197 (F3) is \033OR
1758442458.879550 input_key_build: 0x10e198 (F4) is \033OS
1758442458.879556 input_key_build: 0x10e199 (F5) is \033[15~
1758442458.879564 input_key_build: 0x10e19a (F6) is \033[17~
1758442458.879570 input_key_build: 0x10e19b (F7) is \033[18~
1758442458.879577 input_key_build: 0x10e19c (F8) is \033[19~
1758442458.879584 input_key_build: 0x10e19d (F9) is \033[20~
1758442458.879591 input_key_build: 0x10e19e (F10) is \033[21~
1758442458.879604 input_key_build: 0x10e19f (F11) is \033[23~
1758442458.879611 input_key_build: 0x10e1a0 (F12) is \033[24~
1758442458.879618 input_key_build: 0x10e1a1 (IC) is \033[2~
1758442458.879624 input_key_build: 0x10e1a2 (DC) is \033[3~
1758442458.879632 input_key_build: 0x10e1a3 (Home) is \033[1~
1758442458.879639 input_key_build: 0x10e1a4 (End) is \033[4~
1758442458.879645 input_key_build: 0x10e1a5 (NPage) is \033[6~
1758442458.879652 input_key_build: 0x10e1a6 (PPage) is \033[5~
1758442458.879659 input_key_build: 0x10e1a7 (BTab) is \033[Z
1758442458.879666 input_key_build: 0x10e1a8 (Up) is \033[A
1758442458.879673 input_key_build: 0x10e1a9 (Down) is \033[B
1758442458.879680 input_key_build: 0x10e1aa (Left) is \033[D
1758442458.879687 input_key_build: 0x10e1ab (Right) is \033[C
1758442458.879694 input_key_build: 0x10e1ac (KP/) is /
1758442458.879701 input_key_build: 0x10e1ad (KP*) is *
1758442458.879708 input_key_build: 0x10e1ae (KP-) is -
1758442458.879715 input_key_build: 0x10e1af (KP7) is 7
1758442458.879722 input_key_build: 0x10e1b0 (KP8) is 8
1758442458.879728 input_key_build: 0x10e1b1 (KP9) is 9
1758442458.879735 input_key_build: 0x10e1b2 (KP+) is +
1758442458.879741 input_key_build: 0x10e1b3 (KP4) is 4
1758442458.879748 input_key_build: 0x10e1b4 (KP5) is 5
1758442458.879755 input_key_build: 0x10e1b5 (KP6) is 6
1758442458.879762 input_key_build: 0x10e1b6 (KP1) is 1
1758442458.879773 input_key_build: 0x10e1b7 (KP2) is 2
1758442458.879781 input_key_build: 0x10e1b8 (KP3) is 3
1758442458.879788 input_key_build: 0x10e1b9 (KPEnter) is \n
1758442458.879795 input_key_build: 0x10e1ba (KP0) is 0
1758442458.879802 input_key_build: 0x10e1bb (KP.) is .
1758442458.879808 input_key_build: 0x200000000009 (C-Tab) is \t
1758442458.879815 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1758442458.879822 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1758442458.879830 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1758442458.879836 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1758442458.879843 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1758442458.879850 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1758442458.879857 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1758442458.879864 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1758442458.879871 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1758442458.879878 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1758442458.879885 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1758442458.879892 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1758442458.879931 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1758442458.879939 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1758442458.879947 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1758442458.879954 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1758442458.879961 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1758442458.879969 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1758442458.879976 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1758442458.879994 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1758442458.880008 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1758442458.880015 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1758442458.880023 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1758442458.880030 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1758442458.880037 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
